name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
TCS,3.9,(42.3k Reviews),Public,"Mumbai,Maharashtra + 244 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(28.1k Reviews),Public,"Dublin,Dublin + 133 more",33 years old,1 Lakh+ Employees (India)
Cognizant,4,(25.5k Reviews),Private,"Teaneck,New Jersey + 88 more",28 years old,1 Lakh+ Employees (India)
ICICI Bank,4,(32.3k Reviews),Public,"Mumbai,Maharashtra + 1001 more",28 years old,50k-1 Lakh Employees (India)
Wipro,3.9,(24k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 254 more",77 years old,1 Lakh+ Employees (India)
HDFC Bank,4,(33.5k Reviews),Public,"Mumbai,Maharashtra + 1127 more",28 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(20.6k Reviews),Public,Paris + 71 more,55 years old,1 Lakh+ Employees (India)
HCL Technologies,3.9,(20.3k Reviews),Public,"Noida,Uttar Pradesh + 159 more",46 years old,1 Lakh+ Employees (India)
Infosys,4,(24.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 118 more",41 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(18.8k Reviews),Public,"Pune,Maharashtra + 186 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4,(18.9k Reviews),Private,"New York,New York + 62 more",25 years old,50k-1 Lakh Employees (India)
Axis Bank,3.9,(17.1k Reviews),Public,"Mumbai,Maharashtra + 1003 more",29 years old,50k-1 Lakh Employees (India)
IBM,4.2,(14k Reviews),Public,"Armonk,New York + 110 more",111 years old,1 Lakh+ Employees (India)
Concentrix Corporation,4.1,(13.5k Reviews),Public,"Fremont,California + 63 more",39 years old,10k-50k Employees (India)
Amazon,4.2,(13.4k Reviews),Private,"Seattle,Washington + 329 more",28 years old,1 Lakh+ Employees (India)
Larsen & Toubro,4.1,(18.1k Reviews),Public,"Mumbai,Maharashtra + 496 more",84 years old,10k-50k Employees (India)
Reliance jio,4,(13.1k Reviews),Public,"Navi Mumbai,Maharashtra + 910 more",15 years old,10k-50k Employees (India)
Vodafone Idea,4.3,(12.9k Reviews),Public,"Gandhinagar,Gujrat + 551 more",4 years old,10k-50k Employees (India)
HDB Financial Se...,4,(11.9k Reviews),Private,"Ahmedabad,Gujrat + 713 more",15 years old,1 Lakh+ Employees (India)
Teleperformance,3.6,(9.4k Reviews),Private,Paris + 113 more,44 years old,50k-1 Lakh Employees (India)
Kotak Mahindra B...,3.9,(12.4k Reviews),Public,"Mumbai,Maharashtra + 462 more",19 years old,10k-50k Employees (India)
Reliance Industr...,4.1,(37.1k Reviews),Public,"Navi Mumbai,Maharashtra + 419 more",49 years old,1 Lakh+ Employees (India)
Bharti Airtel,4.1,(11.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 469 more",27 years old,5k-10k Employees (India)
Tata Motors,4.1,(8.3k Reviews),Public,"Pune,Maharashtra + 374 more",77 years old,50k-1 Lakh Employees (India)
Deloitte,4.1,(8.3k Reviews),Private,"New York,New York + 134 more",177 years old,10k-50k Employees (India)
Reliance Retail,4.1,(12.6k Reviews),Private,"Navi Mumbai,Maharashtra + 528 more",16 years old,1 Lakh+ Employees (India)
Mahindra & Mahin...,4.1,(19k Reviews),Public,"Mumbai,Maharashtra + 393 more",77 years old,10k-50k Employees (India)
IndusInd Bank,3.8,(6.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 535 more",28 years old,10k-50k Employees (India)
WNS,3.7,(6.2k Reviews),Private,"Mumbai,Maharashtra + 20 more",26 years old,10k-50k Employees (India)
DXC Technology,3.9,(6.2k Reviews),Public,"Minato,Tokyo + 55 more",31 years old,10k-50k Employees (India)
Hinduja Global S...,4,(5.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,10k-50k Employees (India)
Maruti Suzuki,4.1,(5.4k Reviews),Public,"New Delhi,Delhi + 364 more",39 years old,10k-50k Employees (India)
Ernst & Young,3.8,(5.3k Reviews),Private,London + 68 more,20 years old,50k-1 Lakh Employees (India)
Samsung,4.1,(7.6k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 410 more",84 years old,50k-1 Lakh Employees (India)
Infosys BPM,4,(5.2k Reviews),"Bangalore/Bengaluru,Karnataka + 43 more",20 years old,10k-50k Employees (India),
HSBC,4.1,(5.4k Reviews),Private,"Pune,Maharashtra + 55 more",20 years old,10k-50k Employees (India)
Ericsson,4.3,(5k Reviews),Private,"Stockholm,Stockholm County + 126 more",146 years old,10k-50k Employees (India)
Bajaj Finserv,4.2,(12.4k Reviews),Public,"Pune,Maharashtra + 615 more",15 years old,10k-50k Employees (India)
BYJU'S,3.7,(8.8k Reviews),Private,"Bangalore,Karnataka + 144 more",11 years old,1k-5k Employees (India)
Conneqt Business,3.8,(4.5k Reviews),Private,"Mumbai,Maharashtra + 144 more",20 years old,10k-50k Employees (India)
IDFC FIRST Bank,4,(4.5k Reviews),Public,"Mumbai,Maharashtra + 346 more",4 years old,10k-50k Employees (India)
Dr. Reddy's,4.2,(4.6k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 127 more",36 years old,10k-50k Employees (India)
